ISO,Score,Political Context,Economic Context,Legal Context,Social Context,Safety,Year
NOR,92.65,94.89,90.38,92.23,93.71,92.03,2022
DNK,90.27,94.34,83.67,89.18,91.17,92.97,2022
SWE,88.84,91.96,87.66,90.27,90.18,84.14,2022
EST,88.83,91.11,81.97,87.87,90,93.2,2022
FIN,88.42,90.4,82.03,86.64,90.77,92.26,2022
IRL,88.3,89.24,79.08,85.09,92.5,95.58,2022
PRT,87.07,91.86,77.41,84.21,93.14,88.73,2022
CRI,85.92,81.62,72.96,87.72,92.5,94.78,2022
LTU,84.14,87.01,72.16,84.46,89.71,87.37,2022
LIE,84.03,80.36,68.78,84.74,89.8,96.46,2022
NZL,83.54,90.15,75.26,74.78,89.75,87.76,2022
JAM,83.35,74.85,71.94,82.46,95,92.52,2022
SYC,83.33,80.45,69.13,85.31,90.25,91.5,2022
CHE,82.72,90,68.37,80.99,88.33,85.92,2022
ISL,82.69,86.21,65.56,82.68,87.5,91.5,2022
DEU,82.04,87.03,80.07,87.08,89.47,66.58,2022
TLS,81.89,85.45,68.71,85.96,75.67,93.65,2022
NAM,81.84,72.97,69.8,82.98,91.6,91.84,2022
CAN,81.74,82.27,71.17,80.26,92,82.99,2022
CZE,80.54,79.66,61.56,84.21,88.44,88.81,2022
LUX,79.81,82.94,66.33,72.93,88.71,88.14,2022
LVA,79.17,78.96,64.58,80.89,87.36,84.06,2022
BEL,78.86,75.03,71.22,79.3,87.4,81.35,2022
GBR,78.71,80.57,72.75,76.63,84.29,79.33,2022
TTO,78.68,73.94,67.86,74.56,84.5,92.52,2022
FRA,78.53,79.85,67.86,86.51,89.38,69.05,2022
SVK,78.37,71.44,67.98,82.02,86.38,84.01,2022
NLD,77.93,86.3,82.86,87.28,86.1,47.09,2022
ARG,77.28,76.36,51.53,90.68,85.75,82.06,2022
DOM,76.9,71.52,62.24,85.96,92,72.79,2022
AUT,76.74,77.82,61.43,78.95,81.2,84.29,2022
ESP,76.71,72.73,63.38,82.16,81.89,83.4,2022
BTN,76.46,78.79,62.24,70.39,77,93.88,2022
GUY,76.41,70.06,67.76,75.61,81.4,87.21,2022
ZAF,75.56,75.96,62.59,84.36,82.5,72.39,2022
CPV,75.37,72.55,62.76,77.98,75.4,88.16,2022
CIV,74.46,74.89,58.45,75.94,81.43,81.6,2022
TWN,74.08,74.78,51.88,79.01,77.69,87.02,2022
AUS,73.77,77.17,63.44,64.18,84.17,79.88,2022
MDA,73.47,70.15,47.83,83,85.88,80.48,2022
BFA,73.12,78.99,67.69,75.58,87.83,55.52,2022
USA,72.74,72.99,59.33,77.32,81.43,72.63,2022
KOR,72.11,71.15,55.31,72.81,79.8,81.5,2022
URY,72.03,70.3,49.32,83.63,72.33,84.58,2022
WSM,71.39,61.82,56.12,64.91,85,89.12,2022
SLE,71.03,73.71,50.38,78.4,77.5,75.14,2022
BLZ,70.67,70,52.04,63.6,82,85.71,2022
HRV,70.42,68.26,50.46,79.19,76.09,78.08,2022
TON,69.74,69.7,53.06,66.67,69.5,89.8,2022
GMB,69.25,71.11,51.36,67.69,81.33,74.74,2022
ARM,68.97,66.26,44.44,77.88,76.33,79.91,2022
SUR,68.95,67.88,55.1,62.28,84,75.51,2022
AND,68.79,68.12,50.41,69.12,68.8,87.48,2022
SVN,68.54,59.32,47.7,79.11,79.94,76.61,2022
XCD,68.49,62.91,48.37,68.25,79.8,83.13,2022
ROU,68.46,66.77,46.77,76.46,81.67,70.63,2022
MKD,68.44,66.16,43.71,81.29,73.17,77.85,2022
ITA,68.16,65.89,47.52,73.93,80,73.48,2022
NER,67.8,62.3,46.73,71.75,76.5,81.69,2022
GHA,67.43,66.61,47.22,81.42,79.64,62.25,2022
XKO,67,64.34,45.24,80.85,74.33,70.26,2022
PNG,66.66,62.42,45.24,66.08,81.33,78.23,2022
MNE,66.54,62.51,47.67,77.19,71,74.33,2022
MUS,66.07,55.58,47.81,64.16,80.29,82.5,2022
CYP,65.97,61.21,42.09,74.56,65.75,86.25,2022
POL,65.64,50.95,57.41,68.95,82.53,68.33,2022
BIH,65.64,61.56,40.23,79.57,71.86,74.95,2022
ECU,64.61,60.1,55.44,67.98,69.5,70.03,2022
KEN,64.59,62.42,46.33,72.28,78,63.92,2022
HTI,64.55,59.6,50.34,72.22,80.67,59.91,2022
JPN,64.37,54.66,53.7,66.23,67.06,80.19,2022
KGZ,64.25,59.9,48.64,68.86,69,74.83,2022
SEN,63.07,59.31,42.13,66.67,72.43,74.84,2022
PAN,62.78,54.24,47.45,64.04,74,74.15,2022
LBR,62.77,55.5,32.8,74.69,82.57,68.3,2022
NPL,62.67,59.8,40.14,66.08,77.33,69.99,2022
PER,61.75,66.97,41.84,70.61,63,66.35,2022
MLT,61.55,46.82,41.33,67.98,74.75,76.87,2022
SRB,61.51,47.47,34.92,79.92,74.22,71.03,2022
MWI,61.4,55.76,38.44,78.07,67.67,67.08,2022
CTU,61.08,56.48,38.78,69.82,60.2,80.14,2022
CHL,60.61,65.03,42.86,67.63,72.4,55.15,2022
COM,60.16,56.36,50.26,59.98,75.63,58.56,2022
GIN,59.82,59.26,47.05,71.15,70.67,50.96,2022
HUN,59.8,47.07,32.31,67.25,67.33,85.03,2022
ISR,59.62,65.15,55.1,53.51,77.75,46.61,2022
MDV,59.55,62.27,38.27,67.11,55,75.12,2022
LSO,59.39,57.37,40.14,57.31,74,68.11,2022
GEO,59.3,52.42,46.43,80.79,75.5,41.34,2022
MNG,59.17,55.48,36.18,60.37,69.55,74.27,2022
BGR,59.12,54.95,30.1,68.71,66.83,75.02,2022
GNB,58.79,51.15,50.82,68.42,62.4,61.18,2022
COG,58.64,58.06,48.57,64.21,62.6,59.76,2022
TUN,58.49,61.82,41.84,67.19,70.2,51.42,2022
BWA,58.49,56.97,37.24,56.36,69.75,72.11,2022
PRY,58.36,54.24,31.12,75.44,65,65.99,2022
MRT,58.1,55.15,35.13,64.29,64.29,71.67,2022
MDG,58.02,52.58,35.08,64.47,64.5,73.47,2022
AGO,57.17,52.83,35.03,61.11,73,63.87,2022
TGO,57.17,57.52,41.73,61.93,69.5,55.15,2022
CAF,56.96,51.21,41.07,62.06,68.25,62.19,2022
FJI,56.91,44.85,39.8,58.33,64,77.55,2022
ALB,56.41,50.55,29.39,68.77,66.6,66.75,2022
TCD,56.18,55.88,43.27,60.35,63.2,58.21,2022
GAB,56,48.38,39.46,56.14,65.5,70.52,2022
UKR,55.76,61.21,42.86,79.45,76.43,18.84,2022
BDI,55.74,50.03,44.67,59.55,52.78,71.66,2022
GRC,55.52,60.5,38.13,69.54,65.36,44.1,2022
ZMB,55.4,52.35,37.76,58.33,64,64.55,2022
BRA,55.36,51.62,37.59,69.74,70,47.86,2022
MLI,54.48,35.15,42.6,74.34,78.5,41.81,2022
SLV,54.09,42.94,39.07,63.22,62.86,62.37,2022
MYS,51.55,46.52,42.6,40.13,56,72.48,2022
ETH,50.53,50.65,45.77,63.66,57.29,35.29,2022
THA,50.15,58.99,45.24,47.37,53.67,45.5,2022
MOZ,49.89,46.06,40.31,61.62,47.25,54.21,2022
IDN,49.27,45.91,41.33,55.7,66,37.42,2022
CMR,49.1,48.05,35.71,56.89,67.57,37.25,2022
QAT,49.03,59.7,46.94,43.86,42.5,52.17,2022
JOR,48.66,40,32.65,41.23,66,63.4,2022
BEN,48.39,47.73,28.19,57.46,55.5,53.1,2022
KAZ,48.28,43.52,29.8,51.93,52.3,63.85,2022
TZA,48.28,43.88,32.65,45.09,59.2,60.56,2022
GTM,47.94,46.06,33.67,68.86,59,32.12,2022
COD,47.66,51.33,41.43,60.88,60.3,24.34,2022
BOL,47.58,44.55,33.67,58.77,45,55.89,2022
MEX,47.57,58.18,43.37,65.79,59.5,11.02,2022
SSD,47.06,40.48,36.73,52.11,50.6,55.37,2022
NGA,46.79,45.15,36.39,53.8,69.83,28.75,2022
LBN,46.58,50.91,38.27,50.22,60.5,33.02,2022
SWZ,46.42,41.31,35.03,43.86,50.5,61.4,2022
UGA,46.35,44.7,36.99,60.96,56,33.09,2022
UZB,45.74,44.75,35.71,50.88,53.33,44.03,2022
DZA,45.53,41.21,32.4,54.17,55.88,44.02,2022
MAR,45.42,51.67,28.83,55.81,56,34.82,2022
RWA,45.18,42.12,31.89,57.89,55.25,38.76,2022
ZWE,44.94,40.3,32.4,54.17,54.5,43.34,2022
ARE,44.46,45.45,36.73,32.02,50.5,57.59,2022
SGP,44.23,39.09,29.21,34.21,49.25,69.39,2022
SOM,44.01,51.03,41.22,47.72,61.8,18.27,2022
GNQ,43.96,42.73,24.49,44.3,44.25,64.04,2022
KHM,43.48,42.42,27.96,49.65,62.4,34.96,2022
LBY,43.16,54.42,34.9,44.91,45,36.58,2022
BRN,42.53,40.61,30.61,28.51,34,78.91,2022
COL,42.43,44.7,32.27,60.42,50.38,24.4,2022
LKA,42.13,40.91,27.04,53.07,48.25,41.37,2022
PHL,41.84,44.44,23.13,54.97,61.83,24.83,2022
HKG,41.64,40.5,35.9,42.58,57.45,31.78,2022
TUR,41.25,38.38,27.55,52.92,55,32.37,2022
IND,41,40.76,30.36,57.02,56.25,20.61,2022
SDN,40.96,47.05,29.97,41.45,51,35.35,2022
TJK,40.26,33.79,29.85,48.68,46,42.96,2022
BLR,39.62,32.93,48.75,37.23,60.33,18.85,2022
AZE,39.4,37.66,23.76,48.25,58.86,28.48,2022
RUS,38.82,36.36,34.84,44.61,51.29,27,2022
AFG,38.27,44.65,43.88,42.54,43.33,16.96,2022
PAK,37.99,39.57,31.92,53.26,47.43,17.75,2022
KWT,37.87,32.73,19.39,36.84,27,73.41,2022
VEN,37.78,33.7,31.73,44.74,47.5,31.22,2022
NIC,37.09,37.45,38.78,31.75,49.8,27.68,2022
LAO,36.64,36.06,20.92,31.58,44,50.64,2022
BGD,36.63,42.12,32.48,44.15,48.5,15.88,2022
OMN,35.99,32.73,23.98,18.42,45,59.82,2022
DJI,35.75,32.73,16.12,37.72,37.6,54.56,2022
HND,34.61,33.33,31.63,36.84,31,40.22,2022
SAU,33.71,37.27,33.67,22.37,36.5,38.75,2022
BHR,30.97,35.15,21.43,28.95,39.67,29.65,2022
EGY,30.23,30.91,23.47,34.87,44.25,17.64,2022
YEM,29.14,33.03,27.55,38.6,35,11.54,2022
PSE,28.98,35.45,15.82,36.4,36.5,20.74,2022
SYR,28.94,33.51,27.62,33.58,36.57,13.39,2022
IRQ,28.59,34.14,20.07,29.82,40.67,18.27,2022
CUB,27.32,27.27,39.8,15.79,27.5,26.24,2022
VNM,26.11,32.32,18.71,27.49,34.67,17.37,2022
CHN,25.17,27.45,26.02,23.25,33.3,15.84,2022
MMR,25.03,40.4,29.25,20.18,30.67,4.63,2022
TKM,25.01,25,11.73,29.61,23,35.69,2022
IRN,23.22,30.71,21.32,26.71,23.78,13.61,2022
ERI,19.62,22.22,19.73,25.15,19.67,11.36,2022
PRK,13.92,22.42,0,22.81,12,12.38,2022
